sample,site,unit,dickinson,Qps,QpT,Qms,Qrv,Qrm,Qrg,Kor,Kan,Kpg,Kmi,Kp,Krg,Krm,Krv,Ps,Pmy,Ptw,Prg,Prm,Prv,As,Atw,Arg,Arm,Arv,Lcmif,Lcmir,Lcmic,Lcmich,Lcmi,Lssc,Lcsf,Lcs,Lch,Lchb,Lss,Lsp,Lvf,Lva,Lvg,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,Sed,Gra,Volc,Met,C,Ap,Gr,Hb,Px,Rt,St,Zr,Mb,Mm,Mrg,Mrm,Chl,Gl,Op,Ph,Si,AR,Bz,Sh,Das,Ech,Fc,Md,Oo,Ra,Se,Fph,Pore,provenance
JR169,Crête des Voirons 5,VS,323,42,1,162,3,0,20,3,12,20,0,0,8,3,0,8,0,0,14,0,7,0,0,1,0,0,2,1,0,1,7,0,0,0,4,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,16,18,2,1,241,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,12,0,0,0,0,5,1,0,0,0,0,1,quartzose
JR171,Crête des Voirons 5,VS,308,57,3,204,0,0,2,0,5,19,0,0,0,0,0,11,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,quartzose
JR173,pointe de Brantaz,VS,320,49,1,156,0,0,21,0,14,23,0,0,3,0,0,10,0,0,11,0,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,quartzose
JR175,Pralère,VS,314,28,2,177,0,1,6,0,0,58,0,0,9,2,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5,7,0,4,51,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,quartzose
JR176,Pralère,VS,314,44,0,144,0,0,15,0,1,61,0,0,5,0,0,19,0,0,4,0,0,9,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,5,14,1,1,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,30,quartzose
JR180,Crête des Voirons 7,VS,312,46,0,123,0,0,17,5,1,44,0,0,15,0,0,34,0,1,10,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,4,21,0,2,112,0,0,0,0,0,0,0,3,3,2,0,0,3,0,0,0,0,2,1,0,0,5,1,0,0,0,0,9,quartzose
JR184,la Roche aux Corbeaux,VS,323,23,1,133,0,0,33,0,1,56,0,0,20,0,0,23,0,0,22,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,24,0,1,78,0,0,0,0,0,0,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,13,quartzose
JR185,la Roche aux Corbeaux,VS,312,12,0,189,0,0,11,2,2,40,0,0,8,0,0,25,0,0,5,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,169,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,0,0,0,7,0,0,0,0,0,4,quartzose
JR186,la Roche aux Corbeaux,VS,314,29,1,114,2,5,27,0,9,46,0,0,6,0,0,34,0,1,21,8,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,20,1,3,30,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,quartzose
JR187,la Roche aux Corbeaux,VS,267,30,2,84,0,3,29,2,3,34,0,0,15,1,0,22,0,0,16,6,0,6,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,5,28,0,5,105,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,2,0,0,1,6,0,0,0,0,0,7,quartzose
