################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR230,torrent de Curseilles,VS,283,15,2,15,159,0.001,0.001,1,0.001,0.001,2,0.001,0.001,3,L2,2.68625813799769,0.658339981503347,0.966474922006735,3.99235496729099
JR231,torrent de Curseilles,VC,191,65,21,2,133,1,3,4,0.001,0.001,8,0.001,0.001,5,L2,1.97550310841526,0.891407521494213,0.911724618446876,5.60105995752073
JR232,torrent de Curseilles,VS,296,14,5,12,228,0.001,2,3,3,2,8,2,4,10,L4,2.95966855669023,0.73679796792122,0.106831345470192,3.0936954214316
JR233,torrent de Curseilles,VS,290,9,12,48,362,2,3,5,2,4,33,34,18,1,L4,NA,NA,NA,NA
JR234,torrent de Curseilles,VS,288,22,4,26,233,3,13,5,0.001,1,15,6,13,11,L2,2.73309398424745,0.690434998131564,0.293644034741006,3.11667492863516
JR235,torrent de Curseilles,VS,259,46,5,21,406,1,8,6,1,1,22,37,13,4,L4,3.27968565918267,0.703642334635915,0.275894964486927,3.22219790347798
JR236,torrent de Curseilles,VS,255,22,20,5,117,0.001,4,3,1,0.001,0.001,11,0.001,18,L3,1.87631400688479,0.875356896531671,0.0200348106569019,2.55172000477585
JR237,Château de la Rochette,VS,296,4,8,5,99,0.001,6,1,0.001,0.001,2,3,1,61,L3,2.13247640042419,0.864639888257444,0.0985167388919044,2.56394055455944
JR238,la Renardière,VS,306,0.001,0.001,0.001,0.001,4,2,48,1,7,0.001,0.001,0.001,27,L6,4.30190314516072,0.578226100644221,0.365568098499366,2.94083497950085
JR239,la Renardière,VC,194,128,16,0.001,1,0.001,8,1,0.001,0.001,0.001,0.001,0.001,30,L2,1.48596471939368,0.977212527320578,0.545516341421903,4.2782350363131
JR24,Allinges,VS,211,21,1,3,6,1,3,0.001,0.001,0.001,0.001,0.001,1,83,L2,1.18790202348819,0.704781397183541,-0.190394662091689,3.15730974937252
