############,,,,,,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,,,,,,
# date: 2018-02-07,,,,,,,,,,,,
# comments: please refer to the Log folder for stratigraphic logs,,,,,,,,,,,,
############,,,,,,,,,,,,
outcrop,unit,formation,member,date,bed,azimut,dip,type,lat,lon,sector,remarks
Curseille stream,,Voirons Sandstone,,,lina,125,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,126,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,126,68,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,116,72,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,126,71,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,132,68,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,132,70,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,130,70,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,129,70,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,130,68,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,132,65,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,137,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,127,57,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,109,52,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,102,63,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,108,58,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,112,62,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,108,51,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,110,57,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,106,58,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,109,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,112,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,111,58,bed,,,Voirons,
Curseille stream,,Vouan Conglomerate,,,lina,121,38,bed,,,Voirons,
Curseille stream,,Vouan Conglomerate,,,lina,126,33,bed,,,Voirons,
Curseille stream,,Vouan Conglomerate,,,lina,127,38,bed,,,Voirons,
Curseille stream,,Vouan Conglomerate,,,lina,133,38,bed,,,Voirons,
Curseille stream,,Vouan Conglomerate,,,lina,120,38,bed,,,Voirons,
D20 – 890,,Voirons Sandstone,,,14c,62,40,bed,,,Voirons,
D20 – BovetRollin,,Boëge Marl,,,lina,89,32,bed,,,Voirons,
D20 – BovetRollin,,Boëge Marl,,,lina,90,8,bed,,,Voirons,
D20 – talus 902,,Vouan Conglomerate,,,lina,98,36,bed,,,Voirons,
D50,,Voirons Sandstone,,,lina,89,48,bed,,,Voirons,avant parking monastère
D50,,Voirons Sandstone,,,lina,107,39,bed,,,Voirons,avant parking monastère
Dranse – Left bank,,Boëge Marl,,2015-12-14,1,133,36,bed,,,Allinges,
Dranse – Left bank,,Boëge Marl,,2015-12-14,3,152,24,bed,,,Allinges,
Dranse – Left bank,,Boëge Marl,,2015-12-14,17,132,77,bed,,,Allinges,
Dranse – Left bank,,Boëge Marl,,2015-12-14,30,122,66,bed,,,Allinges,
Dranse – Left bank,,Boëge Marl,,2015-12-14,34,128,52,bed,,,Allinges,
Dranse – Left bank,,Boëge Marl,,2015-12-14,36,126,56,bed,,,Allinges,
Dranse – Right bank (section 1),,Boëge Marl,,2018-07-26,,121,40,bed,46.35798,6.52318,Allinges,
Dranse – Right bank (section 2),,Boëge Marl,,2018-07-26,,58,54,fault,46.35866,6.52129,Allinges,plus ou moins
Dranse – Right bank (section 3),,Boëge Marl,,2018-07-26,,167,38,bed,,,Allinges,
Dranse – Right bank (section 3),,Boëge Marl,,2018-07-26,,104,51,fault,,,Allinges,
Fenalet quarry,,Voirons Sandstone,,2014-04-20,8,72,16,bed,,,Fenalet,
Fenalet quarry,,Voirons Sandstone,,2014-04-20,4c,70,10,bed,,,Fenalet,
Fillinges quarry,,Voirons Sandstone,,,lina,103,38,bed,,,Voirons,
Fillinges quarry,,Voirons Sandstone,,,lina,99,42,bed,,,Voirons,
Fillinges quarry,,Voirons Sandstone,,,lina,98,38,bed,,,Voirons,
Fillinges quarry,,Voirons Sandstone,,,lina,99,40,bed,,,Voirons,
Fillinges quarry,,Voirons Sandstone,,,lina,80,41,bed,,,Voirons,
Fillinges quarry,,Voirons Sandstone,,,lina,94,44,,,,Voirons,a supprimer si 44 et non 41
Fillinges quarry,,Voirons Sandstone,,,lina,88,38,,,,Voirons,a supprimer si 38 et non 30
Fillinges quarry,,Voirons Sandstone,,,lina,107,48,bed,,,Voirons,
Fillinges quarry,,Voirons Sandstone,,,lina,101,40,bed,,,Voirons,
Fillinges quarry 1,,Voirons Sandstone,,22/10/12,65,89,37,bed,,,Voirons,
Fillinges quarry 1,,Voirons Sandstone,,22/10/12,76,112,42,bed,,,Voirons,
Fillinges quarry 1,,Voirons Sandstone,,22/10/12,93,110,32,bed,,,Voirons,
Fillinges quarry 1,,Voirons Sandstone,,22/10/12,94,103,42,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,2,94,41,bed,,,Voirons,41 ou 44 (lina)
Fillinges quarry 2,,Voirons Sandstone,,,6,88,30,bed,,,Voirons,30 ou 38 (lina)
Fillinges quarry 2,,Voirons Sandstone,,,14,109,50,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,18,116,44,bed,,,Voirons,
Fillinges quarry 2,,Voirons Sandstone,,,25,103,38,bed,,,Voirons,
